TableName,Columns
S360_DisableAnonymousBlobAccess,"[""; env_ver; env_name; env_time; env_appId; env_appVer; ver; name; serviceTreeId; cloudType; environment; id; title; classificationType; assignedTo; url; createdDate; dueDate; lastModifiedDate; completionCommitDate; closedDate; closedReason; createdBy; severity; info; serviceName; Directory; SubscriptionId; ResourceGroup; StorageAcc; actionItemCount""]"
S360_DisableAnonymousBlobAccessDetail,"[""; AccountEx; Environment; SubscriptionId; ServiceId; Directory; ResourceGroup""]"
Sophie_AuditDump,"[""; PartitionKey; RowKey; Timestamp; User; Api; OldValue; NewValue; Action; ActivityId""]"
ServiceTreePpe_EntraTenants_Temp,"[""; TenantId; RowVersion; ServiceId; DisplayName; CreatedBy; CreatedAt; ModifiedBy; ModifiedAt; Status; STModifiedAt""]"
ServiceTreePpe_EntraTenantMetadata_Temp,"[""; Id; RowVersion; TenantId; MetadataDefinitionId; Status; Value; CreatedBy; CreatedAt; ModifiedBy; ModifiedAt; STModifiedAt""]"
ServiceTree_EntraTenants_Temp,"[""; TenantId; RowVersion; ServiceId; DisplayName; CreatedBy; CreatedAt; ModifiedBy; ModifiedAt; Status; STModifiedAt""]"
ServiceTree_EntraTenantMetadata_Temp,"[""; Id; RowVersion; TenantId; MetadataDefinitionId; Status; Value; CreatedBy; CreatedAt; ModifiedBy; ModifiedAt; STModifiedAt""]"
ServiceTree_CaymanMapping_Snapshot,"[""; CaymanServiceId; CaymanServiceName; CaymanProductId; CaymanProductName; CaymanSkuId; CaymanSkuName; CaymanProductType; ProductOid; ProductName; ProductType; MapType""]"
ServiceTreePpe_EntraTenantMetadata,"[""; Id; RowVersion; TenantId; MetadataDefinitionId; Status; Value; CreatedBy; CreatedAt; ModifiedBy; ModifiedAt; STModifiedAt""]"
ServiceTreePpe_EntraTenants,"[""; TenantId; RowVersion; ServiceId; DisplayName; CreatedBy; CreatedAt; ModifiedBy; ModifiedAt; Status; STModifiedAt""]"
ServiceTreePpe_Temp_EntraTenantServiceBusError_Temp,"[""; TenantId; STModifiedAt; Version; EnqueuedTime; Error; MessageId; Message; RetryCount""]"
ServiceTreePpe_CatalogMetadataDefinition,"[""; MetadataDefinitionId; Modified; CatalogType; OwningServiceId; NameId; Complex; IsMultipleAllowed; IsValueUnique; PerCloud; Type; DisplayOrder; JsonSchema; EntityState; Tags; Created; CreatedBy; ModifiedBy; IsServiceDeleteBlocker; DeprovisioningWiki; DeprovisioningContactAlias; ApplicableLevel; AuthorizedRoles; Permission""]"
ServiceTree_EntraTenants,"[""; TenantId; RowVersion; ServiceId; DisplayName; CreatedBy; CreatedAt; ModifiedBy; ModifiedAt; Status; STModifiedAt""]"
ServiceTree_EntraTenantMetadata,"[""; Id; RowVersion; TenantId; MetadataDefinitionId; Status; Value; CreatedBy; CreatedAt; ModifiedBy; ModifiedAt; STModifiedAt""]"
ServiceTree_Temp_EntraTenantServiceBusError_Temp,"[""; TenantId; STModifiedAt; Version; EnqueuedTime; Error; MessageId; Message; RetryCount""]"
ServiceTree_CatalogMetadataDefinition,"[""; MetadataDefinitionId; Modified; CatalogType; OwningServiceId; NameId; Complex; IsMultipleAllowed; IsValueUnique; PerCloud; Type; DisplayOrder; JsonSchema; EntityState; Tags; Created; CreatedBy; ModifiedBy; IsServiceDeleteBlocker; DeprovisioningWiki; DeprovisioningContactAlias; ApplicableLevel; AuthorizedRoles; Permission""]"
Cayman_ProductHierarchy_Snapshot,"[""; ServiceId; ServiceName; ServiceFamily; ProductId; ProductName; SkuId; SkuName; MeterTypes; Features; IsConstrainedCore; BaseSkuNameForConstrainedCore; PlatformType; ServiceSeries; SeriesId""]"
