TableName,Columns
WorkItemProcessState,"[""; OrganizationName; ProcessId; Id; EtlProcessDate; WorkItemTrackingRefName; Name; Color; StateCategory; Order; Url; CustomizationType; Data; EtlMetadata; EtlIngestDate""]"
WorkItemProcessDetail,"[""; OrganizationName; ProcessId; WorkItemTrackingRefName; ReferenceName; EtlProcessDate; FieldRefName; Name; Type; Description; Required; DefaultValue; Url; Customization; AllowedValues; IsLocked; Data; EtlMetadata; EtlIngestDate""]"
WorkItemProcessField,"[""; OrganizationName; ProcessId; WorkItemTrackingRefName; ReferenceName; EtlProcessDate; Name; Type; Required; DefaultValue; Description; Url; Customization; IsLocked; Data; EtlMetadata; EtlIngestDate""]"
CommitBatch,"[""; OrganizationName; RepositoryId; PushId; CommitId; EtlProcessDate; RefUpdateName; Data; EtlMetadata; EtlIngestDate""]"
BuildTimelineRecord,"[""; OrganizationName; ProjectId; BuildId; BuildTimelineId; RecordId; EtlProcessDate; RepositoryId; ParentId; ChangeId; LastChangedBy; LastChangedOn; RecordChangeId; DetailsChangeId; DetailsId; WorkerName; RecordName; Order; StartTime; FinishTime; WarningCount; ErrorCount; LogId; LogType; PercentComplete; Result; State; TaskId; TaskName; TaskVersion; Type; Issues; Attempt; PreviousAttempts; Data; EtlMetadata; EtlIngestDate""]"
Repository,"[""; OrganizationName; RepositoryId; ProjectId; RepositoryName; DefaultBranch; ProjectName; IsDisabled; Data; EtlMetadata; EtlIngestDate; EtlProcessDate; EtlDiscoveryDate; ProjectVisibility""]"
TeamCapacity,"[""; OrganizationName; ProjectId; TeamId; IterationId; TeamMemberId; EtlProcessDate; TeamMemberUniqueName; TeamMemberDisplayName; ActivityName; CapacityPerDay; Data; EtlMetadata; EtlIngestDate""]"
Wiki,"[""; OrganizationName; ProjectId; WikiId; RepositoryId; WikiName; WikiType; Url; RemoteUrl; MappedPath; Versions; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
Commit,"[""; OrganizationName; RepositoryId; CommitId; EtlProcessDate; AuthorDate; AuthorEmail; AuthorName; ChangeCountsAdd; ChangeCountsDelete; ChangeCountsEdit; ChangeCountsRename; ChangeCountsDeleteSourceRename; ChangeCountsEditRename; Comment; CommitterDate; CommitterEmail; CommitterName; Parents; PushDate; PushId; PushedByDisplayName; PushedById; PushedByUniqueName; TreeId; EtlMetadata; EtlIngestDate""]"
ReleaseDeployment,"[""; OrganizationName; ProjectId; DeploymentId; EtlProcessDate; DefinitionEnvironmentId; ReleaseId; ReleaseName; ReleaseDefinitionId; ReleaseDefinitionName; ReleaseDefinitionPath; ReleaseEnvironmentId; ReleaseEnvironmentName; StartedOn; QueuedOn; CompletedOn; LastModifiedOn; Reason; OperationStatus; DeploymentStatus; RequestedByDisplayName; RequestedById; RequestedByUniqueName; RequestedForDisplayName; RequestedForId; RequestedForUniqueName; LastModifiedByDisplayName; LastModifiedById; LastModifiedByUniqueName; Data; EtlMetadata; EtlIngestDate""]"
PullRequestDiffChange,"[""; OrganizationName; RepositoryId; PullRequestId; ItemCommitId; ItemObjectId; EtlProcessDate; ProjectId; ChangeType; ItemGitObjectType; ItemIsFolder; ItemOriginalObjectId; ItemPath; SourceServerItem; Data; EtlMetadata; EtlIngestDate""]"
